sp,start,end,len
Mycobacterium_angelicum,230,232,2
Mycobacterium_angelicum,236,239,3
Mycobacterium_angelicum,427,428,1
Mycobacterium_angelicum,477,479,2
Mycobacterium_angelicum,493,495,2
Mycobacterium_angelicum,617,618,1
Mycobacterium_angelicum,867,869,2
Mycobacterium_angelicum,1043,1044,1
Mycobacterium_angelicum,1309,1310,1
Mycobacterium_angelicum,1477,1478,1
Mycobacterium_angelicum,1480,1483,3
Mycobacterium_persicum,74,75,1
Mycobacterium_persicum,81,96,15
Mycobacterium_persicum,97,101,4
Mycobacterium_persicum,106,107,1
Mycobacterium_persicum,158,159,1
Mycobacterium_persicum,200,201,1
Mycobacterium_persicum,217,218,1
Mycobacterium_persicum,230,232,2
Mycobacterium_persicum,236,239,3
Mycobacterium_persicum,427,428,1
Mycobacterium_persicum,477,479,2
Mycobacterium_persicum,493,495,2
Mycobacterium_persicum,617,618,1
Mycobacterium_persicum,867,869,2
Mycobacterium_persicum,1043,1044,1
Mycobacterium_persicum,1309,1310,1
Mycobacterium_persicum,1477,1478,1
Mycobacterium_persicum,1480,1483,3
Mycobacterium_haemophilum,74,75,1
Mycobacterium_haemophilum,81,96,15
Mycobacterium_haemophilum,98,100,2
Mycobacterium_haemophilum,106,107,1
Mycobacterium_haemophilum,158,159,1
Mycobacterium_haemophilum,200,201,1
Mycobacterium_haemophilum,230,232,2
Mycobacterium_haemophilum,236,239,3
Mycobacterium_haemophilum,427,428,1
Mycobacterium_haemophilum,477,479,2
Mycobacterium_haemophilum,493,495,2
Mycobacterium_haemophilum,617,618,1
Mycobacterium_haemophilum,867,869,2
Mycobacterium_haemophilum,1043,1044,1
Mycobacterium_haemophilum,1309,1310,1
Mycobacterium_haemophilum,1477,1478,1
Mycobacterium_haemophilum,1480,1483,3
Mycobacterium_riyadhense,74,75,1
Mycobacterium_riyadhense,81,96,15
Mycobacterium_riyadhense,98,100,2
Mycobacterium_riyadhense,106,107,1
Mycobacterium_riyadhense,158,159,1
Mycobacterium_riyadhense,200,201,1
Mycobacterium_riyadhense,217,218,1
Mycobacterium_riyadhense,230,232,2
Mycobacterium_riyadhense,236,239,3
Mycobacterium_riyadhense,427,428,1
Mycobacterium_riyadhense,477,479,2
Mycobacterium_riyadhense,493,495,2
Mycobacterium_riyadhense,617,618,1
Mycobacterium_riyadhense,867,869,2
Mycobacterium_riyadhense,1043,1044,1
Mycobacterium_riyadhense,1309,1310,1
Mycobacterium_riyadhense,1477,1478,1
Mycobacterium_riyadhense,1480,1483,3
Mycobacterium_attenuatum,74,75,1
Mycobacterium_attenuatum,81,96,15
Mycobacterium_attenuatum,97,101,4
Mycobacterium_attenuatum,106,107,1
Mycobacterium_attenuatum,158,159,1
Mycobacterium_attenuatum,200,201,1
Mycobacterium_attenuatum,217,218,1
Mycobacterium_attenuatum,230,232,2
Mycobacterium_attenuatum,236,239,3
Mycobacterium_attenuatum,427,428,1
Mycobacterium_attenuatum,477,479,2
Mycobacterium_attenuatum,493,495,2
Mycobacterium_attenuatum,617,618,1
Mycobacterium_attenuatum,867,869,2
Mycobacterium_attenuatum,1043,1044,1
Mycobacterium_attenuatum,1309,1310,1
Mycobacterium_attenuatum,1477,1478,1
Mycobacterium_attenuatum,1480,1483,3
Mycobacterium_bouchedurhonense,74,75,1
Mycobacterium_bouchedurhonense,81,96,15
Mycobacterium_bouchedurhonense,98,100,2
Mycobacterium_bouchedurhonense,106,107,1
Mycobacterium_bouchedurhonense,158,159,1
Mycobacterium_bouchedurhonense,200,201,1
Mycobacterium_bouchedurhonense,217,218,1
Mycobacterium_bouchedurhonense,230,232,2
Mycobacterium_bouchedurhonense,236,239,3
Mycobacterium_bouchedurhonense,427,428,1
Mycobacterium_bouchedurhonense,477,479,2
Mycobacterium_bouchedurhonense,493,495,2
Mycobacterium_bouchedurhonense,617,618,1
Mycobacterium_bouchedurhonense,867,869,2
Mycobacterium_bouchedurhonense,1043,1044,1
Mycobacterium_bouchedurhonense,1309,1310,1
Mycobacterium_bouchedurhonense,1481,1483,2
Mycobacterium_simulans,74,75,1
Mycobacterium_simulans,81,96,15
Mycobacterium_simulans,98,100,2
Mycobacterium_simulans,106,107,1
Mycobacterium_simulans,158,159,1
Mycobacterium_simulans,200,201,1
Mycobacterium_simulans,217,218,1
Mycobacterium_simulans,230,232,2
Mycobacterium_simulans,236,239,3
Mycobacterium_simulans,427,428,1
Mycobacterium_simulans,477,479,2
Mycobacterium_simulans,493,495,2
Mycobacterium_simulans,617,618,1
Mycobacterium_simulans,867,869,2
Mycobacterium_simulans,1043,1044,1
Mycobacterium_simulans,1309,1310,1
Mycobacterium_simulans,1477,1478,1
Mycobacterium_simulans,1480,1483,3
Mycobacterium_hominissuis,74,75,1
Mycobacterium_hominissuis,81,96,15
Mycobacterium_hominissuis,98,100,2
Mycobacterium_hominissuis,106,107,1
Mycobacterium_hominissuis,158,159,1
Mycobacterium_hominissuis,200,201,1
Mycobacterium_hominissuis,217,218,1
Mycobacterium_hominissuis,230,232,2
Mycobacterium_hominissuis,236,239,3
Mycobacterium_hominissuis,427,428,1
Mycobacterium_hominissuis,477,479,2
Mycobacterium_hominissuis,493,495,2
Mycobacterium_hominissuis,617,618,1
Mycobacterium_hominissuis,867,869,2
Mycobacterium_hominissuis,1043,1044,1
Mycobacterium_hominissuis,1309,1310,1
Mycobacterium_hominissuis,1481,1483,2
Mycobacterium_avium,74,75,1
Mycobacterium_avium,81,96,15
Mycobacterium_avium,98,100,2
Mycobacterium_avium,106,107,1
Mycobacterium_avium,158,159,1
Mycobacterium_avium,200,201,1
Mycobacterium_avium,217,218,1
Mycobacterium_avium,230,232,2
Mycobacterium_avium,236,239,3
Mycobacterium_avium,427,428,1
Mycobacterium_avium,477,479,2
Mycobacterium_avium,493,495,2
Mycobacterium_avium,617,618,1
Mycobacterium_avium,867,869,2
Mycobacterium_avium,1043,1044,1
Mycobacterium_avium,1309,1310,1
Mycobacterium_avium,1481,1483,2
Mycobacterium_paraseoulense,74,75,1
Mycobacterium_paraseoulense,81,96,15
Mycobacterium_paraseoulense,98,100,2
Mycobacterium_paraseoulense,106,107,1
Mycobacterium_paraseoulense,158,159,1
Mycobacterium_paraseoulense,200,201,1
Mycobacterium_paraseoulense,217,218,1
Mycobacterium_paraseoulense,230,232,2
Mycobacterium_paraseoulense,236,239,3
Mycobacterium_paraseoulense,427,428,1
Mycobacterium_paraseoulense,477,479,2
Mycobacterium_paraseoulense,484,485,1
Mycobacterium_paraseoulense,493,495,2
Mycobacterium_paraseoulense,617,618,1
Mycobacterium_paraseoulense,867,869,2
Mycobacterium_paraseoulense,1043,1044,1
Mycobacterium_paraseoulense,1309,1310,1
Mycobacterium_paraseoulense,1477,1478,1
Mycobacterium_paraseoulense,1480,1483,3
Mycobacterium_seoulense,74,75,1
Mycobacterium_seoulense,81,96,15
Mycobacterium_seoulense,98,100,2
Mycobacterium_seoulense,106,107,1
Mycobacterium_seoulense,158,159,1
Mycobacterium_seoulense,200,201,1
Mycobacterium_seoulense,217,218,1
Mycobacterium_seoulense,230,232,2
Mycobacterium_seoulense,236,239,3
Mycobacterium_seoulense,427,428,1
Mycobacterium_seoulense,477,479,2
Mycobacterium_seoulense,484,485,1
Mycobacterium_seoulense,493,495,2
Mycobacterium_seoulense,617,618,1
Mycobacterium_seoulense,867,869,2
Mycobacterium_seoulense,1043,1044,1
Mycobacterium_seoulense,1309,1310,1
Mycobacterium_seoulense,1477,1478,1
Mycobacterium_seoulense,1480,1483,3
Mycobacterium_lepromatosis,74,75,1
Mycobacterium_lepromatosis,98,100,2
Mycobacterium_lepromatosis,106,107,1
Mycobacterium_lepromatosis,200,201,1
Mycobacterium_lepromatosis,217,218,1
Mycobacterium_lepromatosis,230,232,2
Mycobacterium_lepromatosis,236,239,3
Mycobacterium_lepromatosis,427,428,1
Mycobacterium_lepromatosis,477,479,2
Mycobacterium_lepromatosis,493,495,2
Mycobacterium_lepromatosis,617,618,1
Mycobacterium_lepromatosis,867,869,2
Mycobacterium_lepromatosis,1043,1044,1
Mycobacterium_lepromatosis,1479,1483,4
Mycobacterium_paraintracellulare,74,75,1
Mycobacterium_paraintracellulare,81,96,15
Mycobacterium_paraintracellulare,98,100,2
Mycobacterium_paraintracellulare,106,107,1
Mycobacterium_paraintracellulare,158,159,1
Mycobacterium_paraintracellulare,200,201,1
Mycobacterium_paraintracellulare,217,218,1
Mycobacterium_paraintracellulare,230,232,2
Mycobacterium_paraintracellulare,236,239,3
Mycobacterium_paraintracellulare,427,428,1
Mycobacterium_paraintracellulare,477,479,2
Mycobacterium_paraintracellulare,493,495,2
Mycobacterium_paraintracellulare,617,618,1
Mycobacterium_paraintracellulare,867,869,2
Mycobacterium_paraintracellulare,1043,1044,1
Mycobacterium_paraintracellulare,1309,1310,1
Mycobacterium_paraintracellulare,1479,1483,4
Mycolicibacterium_vulneris,74,75,1
Mycolicibacterium_vulneris,81,96,15
Mycolicibacterium_vulneris,98,100,2
Mycolicibacterium_vulneris,106,107,1
Mycolicibacterium_vulneris,158,159,1
Mycolicibacterium_vulneris,200,201,1
Mycolicibacterium_vulneris,217,218,1
Mycolicibacterium_vulneris,230,232,2
Mycolicibacterium_vulneris,236,239,3
Mycolicibacterium_vulneris,427,428,1
Mycolicibacterium_vulneris,477,479,2
Mycolicibacterium_vulneris,493,495,2
Mycolicibacterium_vulneris,617,618,1
Mycolicibacterium_vulneris,867,869,2
Mycolicibacterium_vulneris,1043,1044,1
Mycolicibacterium_vulneris,1309,1310,1
Mycolicibacterium_vulneris,1479,1483,4
Mycobacterium_colombiense,74,75,1
Mycobacterium_colombiense,81,96,15
Mycobacterium_colombiense,98,100,2
Mycobacterium_colombiense,106,107,1
Mycobacterium_colombiense,158,159,1
Mycobacterium_colombiense,200,201,1
Mycobacterium_colombiense,217,218,1
Mycobacterium_colombiense,230,232,2
Mycobacterium_colombiense,236,239,3
Mycobacterium_colombiense,427,428,1
Mycobacterium_colombiense,477,479,2
Mycobacterium_colombiense,493,495,2
Mycobacterium_colombiense,617,618,1
Mycobacterium_colombiense,867,869,2
Mycobacterium_colombiense,1043,1044,1
Mycobacterium_colombiense,1309,1310,1
Mycobacterium_colombiense,1479,1483,4
Mycobacterium_chimaera,74,75,1
Mycobacterium_chimaera,81,96,15
Mycobacterium_chimaera,98,100,2
Mycobacterium_chimaera,106,107,1
Mycobacterium_chimaera,158,159,1
Mycobacterium_chimaera,200,201,1
Mycobacterium_chimaera,217,218,1
Mycobacterium_chimaera,230,232,2
Mycobacterium_chimaera,236,239,3
Mycobacterium_chimaera,427,428,1
Mycobacterium_chimaera,477,479,2
Mycobacterium_chimaera,493,495,2
Mycobacterium_chimaera,617,618,1
Mycobacterium_chimaera,867,869,2
Mycobacterium_chimaera,1043,1044,1
Mycobacterium_chimaera,1309,1310,1
Mycobacterium_chimaera,1479,1483,4
Mycobacterium_alsense,74,75,1
Mycobacterium_alsense,81,96,15
Mycobacterium_alsense,98,100,2
Mycobacterium_alsense,106,107,1
Mycobacterium_alsense,158,159,1
Mycobacterium_alsense,200,201,1
Mycobacterium_alsense,217,218,1
Mycobacterium_alsense,230,232,2
Mycobacterium_alsense,236,239,3
Mycobacterium_alsense,427,428,1
Mycobacterium_alsense,477,479,2
Mycobacterium_alsense,493,495,2
Mycobacterium_alsense,617,618,1
Mycobacterium_alsense,867,869,2
Mycobacterium_alsense,1043,1044,1
Mycobacterium_alsense,1309,1311,2
Mycobacterium_alsense,1480,1483,3
Mycobacterium_leprae,74,75,1
Mycobacterium_leprae,89,92,3
Mycobacterium_leprae,98,100,2
Mycobacterium_leprae,106,107,1
Mycobacterium_leprae,200,201,1
Mycobacterium_leprae,217,218,1
Mycobacterium_leprae,230,231,1
Mycobacterium_leprae,236,239,3
Mycobacterium_leprae,427,428,1
Mycobacterium_leprae,477,479,2
Mycobacterium_leprae,493,495,2
Mycobacterium_leprae,617,618,1
Mycobacterium_leprae,867,869,2
Mycobacterium_leprae,1043,1044,1
Mycobacterium_leprae,1309,1310,1
Mycobacterium_leprae,1479,1483,4
Mycobacterium_intracellulare,74,75,1
Mycobacterium_intracellulare,81,96,15
Mycobacterium_intracellulare,98,100,2
Mycobacterium_intracellulare,106,107,1
Mycobacterium_intracellulare,158,159,1
Mycobacterium_intracellulare,200,201,1
Mycobacterium_intracellulare,217,218,1
Mycobacterium_intracellulare,230,232,2
Mycobacterium_intracellulare,236,239,3
Mycobacterium_intracellulare,427,428,1
Mycobacterium_intracellulare,477,479,2
Mycobacterium_intracellulare,493,495,2
Mycobacterium_intracellulare,617,618,1
Mycobacterium_intracellulare,867,869,2
Mycobacterium_intracellulare,1043,1044,1
Mycobacterium_intracellulare,1309,1310,1
Mycobacterium_intracellulare,1479,1483,4
Mycobacterium_yongonense,74,75,1
Mycobacterium_yongonense,81,96,15
Mycobacterium_yongonense,98,100,2
Mycobacterium_yongonense,106,107,1
Mycobacterium_yongonense,158,159,1
Mycobacterium_yongonense,200,201,1
Mycobacterium_yongonense,217,218,1
Mycobacterium_yongonense,230,232,2
Mycobacterium_yongonense,236,239,3
Mycobacterium_yongonense,427,428,1
Mycobacterium_yongonense,477,479,2
Mycobacterium_yongonense,493,495,2
Mycobacterium_yongonense,607,608,1
Mycobacterium_yongonense,617,618,1
Mycobacterium_yongonense,867,869,2
Mycobacterium_yongonense,1043,1044,1
Mycobacterium_yongonense,1309,1310,1
Mycobacterium_yongonense,1479,1483,4
Mycobacterium_bourgelatii,74,75,1
Mycobacterium_bourgelatii,81,96,15
Mycobacterium_bourgelatii,98,100,2
Mycobacterium_bourgelatii,106,107,1
Mycobacterium_bourgelatii,158,159,1
Mycobacterium_bourgelatii,200,201,1
Mycobacterium_bourgelatii,230,232,2
Mycobacterium_bourgelatii,236,239,3
Mycobacterium_bourgelatii,427,428,1
Mycobacterium_bourgelatii,477,479,2
Mycobacterium_bourgelatii,493,495,2
Mycobacterium_bourgelatii,617,618,1
Mycobacterium_bourgelatii,867,869,2
Mycobacterium_bourgelatii,1043,1044,1
Mycobacterium_bourgelatii,1309,1310,1
Mycobacterium_bourgelatii,1480,1483,3
Mycobacterium_marseillense,74,75,1
Mycobacterium_marseillense,81,96,15
Mycobacterium_marseillense,98,100,2
Mycobacterium_marseillense,106,107,1
Mycobacterium_marseillense,158,159,1
Mycobacterium_marseillense,200,201,1
Mycobacterium_marseillense,217,218,1
Mycobacterium_marseillense,230,232,2
Mycobacterium_marseillense,236,239,3
Mycobacterium_marseillense,427,428,1
Mycobacterium_marseillense,477,479,2
Mycobacterium_marseillense,493,495,2
