,# assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,asm_not_live_date,sp
305,GCF_010726645.1,PRJNA224116,SAMD00153169,,representative genome,39688,39688,Mycolicibacterium duvalii,strain=JCM 6396,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072664v1,"Department of Infection Metagenomics, Osaka University",GCA_010726645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/645/GCF_010726645.1_ASM1072664v1,,assembly from type material,na,Mycolicibacterium_duvalii
299,GCF_022374875.2,PRJNA224116,SAMN20254267,,representative genome,318424,318424,Mycolicibacterium rufum,strain=JCM 16372,,latest,Complete Genome,Major,Full,2022/09/02,ASM2237487v3,Research Institute of Tuberculosis,GCA_022374875.3,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/374/875/GCF_022374875.2_ASM2237487v3,,assembly from type material,na,Mycolicibacterium_rufum
297,GCF_010728325.1,PRJNA224116,SAMD00153179,,representative genome,39694,39694,Mycolicibacterium poriferae,strain=JCM 12603,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072832v1,"Department of Infection Metagenomics, Osaka University",GCA_010728325.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/728/325/GCF_010728325.1_ASM1072832v1,,assembly from type material,na,Mycolicibacterium_poriferae
317,GCF_010727945.1,PRJNA224116,SAMD00153177,,representative genome,1775,1775,Mycobacterium cookii,strain=JCM 12404,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072794v1,"Department of Infection Metagenomics, Osaka University",GCA_010727945.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/727/945/GCF_010727945.1_ASM1072794v1,,assembly from type material,na,Mycobacterium_cookii
296,GCF_004924335.1,PRJNA224116,SAMN07807803,,representative genome,404941,404941,Mycobacteroides salmoniphilum,strain=DSM 43276,,latest,Complete Genome,Major,Full,2019/04/30,ASM492433v1,Uppsala University,GCA_004924335.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/924/335/GCF_004924335.1_ASM492433v1,,assembly from type material,na,Mycobacteroides_salmoniphilum
351,GCF_008329645.1,PRJNA224116,SAMN12660232,,representative genome,1552759,1552759,Mycobacterium grossiae,strain=DSM 104744,,latest,Complete Genome,Major,Full,2019/09/08,ASM832964v1,Tongde Hospital of Zhejiang Province,GCA_008329645.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/329/645/GCF_008329645.1_ASM832964v1,,assembly from type material,na,Mycobacterium_grossiae
358,GCF_010728925.1,PRJNA224116,SAMD00153182,,representative genome,1794,1794,Mycolicibacterium gadium,strain=JCM 12688,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072892v1,"Department of Infection Metagenomics, Osaka University",GCA_010728925.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/728/925/GCF_010728925.1_ASM1072892v1,,assembly from type material,na,Mycolicibacterium_gadium
427,GCF_019456675.1,PRJNA224116,SAMN20254255,,representative genome,370524,370524,Mycolicibacterium pallens,strain=JCM 16370,,latest,Complete Genome,Major,Full,2021/08/06,ASM1945667v1,Research Institute of Tuberculosis,GCA_019456675.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/456/675/GCF_019456675.1_ASM1945667v1,,assembly from type material,na,Mycolicibacterium_pallens
421,GCF_010725485.1,PRJNA224116,SAMD00153162,,representative genome,39692,39692,Mycolicibacterium parafortuitum,strain=JCM 6367,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072548v1,"Department of Infection Metagenomics, Osaka University",GCA_010725485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/725/485/GCF_010725485.1_ASM1072548v1,,assembly from type material,na,Mycolicibacterium_parafortuitum
417,GCF_010729485.1,PRJNA224116,SAMD00153186,,representative genome,29314,29314,Mycolicibacter hiberniae,strain=JCM 13571,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072948v1,"Department of Infection Metagenomics, Osaka University",GCA_010729485.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/729/485/GCF_010729485.1_ASM1072948v1,,assembly from type material,na,Mycolicibacter_hiberniae
412,GCF_022558525.1,PRJNA224116,SAMN15569026,,na,146017,146017,Mycolicibacterium boenickei,strain=DSM 44677,,latest,Complete Genome,Major,Full,2022/03/14,ASM2255852v1,Uppsala University,GCA_022558525.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/558/525/GCF_022558525.1_ASM2255852v1,,assembly from type material,na,Mycolicibacterium_boenickei
405,GCF_010731895.1,PRJNA224116,SAMD00153218,,representative genome,1534349,1534349,Mycolicibacterium helvum,strain=JCM 30396,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073189v1,"Department of Infection Metagenomics, Osaka University",GCA_010731895.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/895/GCF_010731895.1_ASM1073189v1,,assembly from type material,na,Mycolicibacterium_helvum
354,GCF_022370755.2,PRJNA224116,SAMN20254253,,representative genome,134601,134601,Mycolicibacterium goodii,strain=ATCC 700504,,latest,Complete Genome,Major,Full,2022/08/24,ASM2237075v2,Research Institute of Tuberculosis,GCA_022370755.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/370/755/GCF_022370755.2_ASM2237075v2,,assembly from type material,na,Mycolicibacterium_goodii
403,GCF_010728725.1,PRJNA224116,SAMD00153181,,representative genome,43348,43348,Mycobacterium branderi,strain=JCM 12687,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072872v1,"Department of Infection Metagenomics, Osaka University",GCA_010728725.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/728/725/GCF_010728725.1_ASM1072872v1,,assembly from type material,na,Mycobacterium_branderi
392,GCF_010731795.1,PRJNA224116,SAMD00153212,,representative genome,1249101,1249101,Mycolicibacterium celeriflavum,strain=JCM 18439,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073179v1,"Department of Infection Metagenomics, Osaka University",GCA_010731795.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/795/GCF_010731795.1_ASM1073179v1,,assembly from type material,na,Mycolicibacterium_celeriflavum
383,GCF_010726245.1,PRJNA224116,SAMD00153166,,representative genome,1799,1799,Mycolicibacterium aichiense,strain=JCM 6376,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072624v1,"Department of Infection Metagenomics, Osaka University",GCA_010726245.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/245/GCF_010726245.1_ASM1072624v1,,assembly from type material,na,Mycolicibacterium_aichiense
381,GCF_010727325.1,PRJNA224116,SAMD00153173,,representative genome,67081,67081,Mycolicibacterium alvei,strain=JCM 12272,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072732v1,"Department of Infection Metagenomics, Osaka University",GCA_010727325.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/727/325/GCF_010727325.1_ASM1072732v1,,assembly from type material,na,Mycolicibacterium_alvei
378,GCF_010731855.1,PRJNA224116,SAMD00153216,,representative genome,1431246,1431246,Mycolicibacterium anyangense,strain=JCM 30275,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073185v1,"Department of Infection Metagenomics, Osaka University",GCA_010731855.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/855/GCF_010731855.1_ASM1073185v1,,assembly from type material,na,Mycolicibacterium_anyangense
375,GCF_010731815.2,PRJNA224116,SAMD00153213,,representative genome,1286181,1286181,Mycolicibacterium arabiense,strain=JCM 18538,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073181v2,"Department of Infection Metagenomics, Osaka University",GCA_010731815.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/815/GCF_010731815.2_ASM1073181v2,,assembly from type material,na,Mycolicibacterium_arabiense
369,GCF_010727725.1,PRJNA224116,SAMD00153176,,na,1792,1792,Mycolicibacterium chitae,strain=JCM 12403,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072772v1,"Department of Infection Metagenomics, Osaka University",GCA_010727725.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/727/725/GCF_010727725.1_ASM1072772v1,,assembly from type material,na,Mycolicibacterium_chitae
399,GCF_025215495.1,PRJNA224116,SAMN25131781,,representative genome,85968,85968,Mycolicibacterium brumae,strain=ATCC 51384,,latest,Complete Genome,Major,Full,2022/09/15,ASM2521549v1,I2Sysbio-University of Valencia,GCA_025215495.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/215/495/GCF_025215495.1_ASM2521549v1,,assembly from type material,na,Mycolicibacterium_brumae
432,GCF_010731635.1,PRJNA224116,SAMD00153203,,representative genome,459858,459858,Mycobacterium noviomagense,strain=JCM 16367,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073163v1,"Department of Infection Metagenomics, Osaka University",GCA_010731635.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/635/GCF_010731635.1_ASM1073163v1,,assembly from type material,na,Mycobacterium_noviomagense
281,GCF_022558565.1,PRJNA224116,SAMN15569023,,na,1226752,152142,Mycolicibacterium holsaticum DSM 44478 = JCM 12374,strain=DSM 44478,,latest,Complete Genome,Major,Full,2022/03/14,ASM2255856v1,Uppsala University,GCA_022558565.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/558/565/GCF_022558565.1_ASM2255856v1,,assembly from type material,na,Mycolicibacterium_holsaticum
210,GCF_019645875.1,PRJNA224116,SAMN20254268,,representative genome,1796,1796,Mycolicibacterium senegalense,strain=ATCC 35796,,latest,Complete Genome,Major,Full,2021/08/17,ASM1964587v1,Research Institute of Tuberculosis,GCA_019645875.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/645/875/GCF_019645875.1_ASM1964587v1,,assembly from type material,na,Mycolicibacterium_senegalense
203,GCF_015710575.1,PRJNA224116,SAMN16862530,,representative genome,2736649,2736649,Mycolicibacterium mengxianglii,strain=Z-34,,latest,Complete Genome,Major,Full,2020/12/18,ASM1571057v2,"National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Contr",GCA_015710575.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/710/575/GCF_015710575.1_ASM1571057v2,,assembly from type material,na,Mycolicibacterium_mengxianglii
199,GCF_010725885.1,PRJNA224116,SAMD00153164,,representative genome,39695,39695,Mycolicibacterium tokaiense,strain=JCM 6373,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072588v1,"Department of Infection Metagenomics, Osaka University",GCA_010725885.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/725/885/GCF_010725885.1_ASM1072588v1,,assembly from type material,na,Mycolicibacterium_tokaiense
195,GCF_000015305.1,PRJNA224116,SAMN02598347,,representative genome,350058,110539,Mycolicibacterium vanbaalenii PYR-1,strain=PYR-1,,latest,Complete Genome,Major,Full,2006/12/27,ASM1530v1,DOE Joint Genome Institute,GCA_000015305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/305/GCF_000015305.1_ASM1530v1,,assembly from type material,na,Mycolicibacterium_vanbaalenii
186,GCF_010725725.1,PRJNA224116,SAMD00153163,,representative genome,36813,36813,Mycolicibacterium pulveris,strain=JCM 6370,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072572v1,"Department of Infection Metagenomics, Osaka University",GCA_010725725.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/725/725/GCF_010725725.1_ASM1072572v1,,assembly from type material,na,Mycolicibacterium_pulveris
184,GCF_010729305.1,PRJNA224116,SAMD00153184,,representative genome,216929,216929,Mycolicibacterium psychrotolerans,strain=JCM 13323,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072930v1,"Department of Infection Metagenomics, Osaka University",GCA_010729305.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/729/305/GCF_010729305.1_ASM1072930v1,,assembly from type material,na,Mycolicibacterium_psychrotolerans
213,GCF_010731875.1,PRJNA224116,SAMD00153217,,representative genome,1534348,1534348,Mycolicibacterium sarraceniae,strain=JCM 30395,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073187v1,"Department of Infection Metagenomics, Osaka University",GCA_010731875.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/875/GCF_010731875.1_ASM1073187v1,,assembly from type material,na,Mycolicibacterium_sarraceniae
182,GCF_010731575.1,PRJNA224116,SAMD00153199,,representative genome,85693,85693,Mycolicibacterium monacense,strain=JCM 15658,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073157v1,"Department of Infection Metagenomics, Osaka University",GCA_010731575.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/575/GCF_010731575.1_ASM1073157v1,,assembly from type material,na,Mycolicibacterium_monacense
178,GCF_010726085.1,PRJNA224116,SAMD00153165,,representative genome,39691,39691,Mycolicibacterium moriokaense,strain=JCM 6375,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072608v1,"Department of Infection Metagenomics, Osaka University",GCA_010726085.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/085/GCF_010726085.1_ASM1072608v1,,assembly from type material,na,Mycolicibacterium_moriokaense
160,GCF_001583415.1,PRJNA224116,SAMN04481318,,na,1771,1771,Mycolicibacterium phlei,strain=CCUG 21000,,latest,Complete Genome,Major,Full,2016/03/08,ASM158341v1,Uppsala University,GCA_001583415.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/583/415/GCF_001583415.1_ASM158341v1,,assembly from type material,na,Mycolicibacterium_phlei
158,GCF_010731115.1,PRJNA224116,SAMD00153196,,representative genome,319706,319706,Mycolicibacterium phocaicum,strain=JCM 15301,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073111v1,"Department of Infection Metagenomics, Osaka University",GCA_010731115.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/115/GCF_010731115.1_ASM1073111v1,,assembly from type material,na,Mycolicibacterium_phocaicum
181,GCF_009931355.1,PRJNA224116,SAMN10880098,,na,1226751,85693,Mycolicibacterium monacense DSM 44395,strain=DSM 44395,,latest,Complete Genome,Major,Full,2020/01/27,ASM993135v1,Uppsala University,GCA_009931355.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/931/355/GCF_009931355.1_ASM993135v1,,assembly from type material,na,Mycolicibacterium_monacense
279,GCF_010727475.1,PRJNA224116,SAMD00153174,,representative genome,53462,53462,Mycolicibacterium mageritense,strain=JCM 12375,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072747v1,"Department of Infection Metagenomics, Osaka University",GCA_010727475.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/727/475/GCF_010727475.1_ASM1072747v1,,assembly from type material,na,Mycolicibacterium_mageritense
274,GCF_010731615.1,PRJNA224116,SAMD00153202,,representative genome,444597,444597,Mycolicibacterium insubricum,strain=JCM 16366,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073161v1,"Department of Infection Metagenomics, Osaka University",GCA_010731615.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/615/GCF_010731615.1_ASM1073161v1,,assembly from type material,na,Mycolicibacterium_insubricum
269,GCF_010731695.1,PRJNA224116,SAMD00153207,,representative genome,758802,758802,Mycolicibacterium litorale,strain=JCM 17423,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073169v1,"Department of Infection Metagenomics, Osaka University",GCA_010731695.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/695/GCF_010731695.1_ASM1073169v1,,assembly from type material,na,Mycolicibacterium_litorale
255,GCF_016313185.1,PRJNA224116,SAMN17013278,,representative genome,2761578,2761578,Mycolicibacterium baixiangningiae,strain=LJ126,,latest,Complete Genome,Major,Full,2020/12/23,ASM1631318v1,"National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Contr",GCA_016313185.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/313/185/GCF_016313185.1_ASM1631318v1,,assembly from type material,na,Mycolicibacterium_baixiangningiae
221,GCF_010729665.1,PRJNA224116,SAMD00153188,,representative genome,212765,212765,Mycolicibacterium madagascariense,strain=JCM 13574,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072966v1,"Department of Infection Metagenomics, Osaka University",GCA_010729665.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/729/665/GCF_010729665.1_ASM1072966v1,,assembly from type material,na,Mycolicibacterium_madagascariense
445,GCF_003614435.1,PRJNA224116,SAMN08222636,,representative genome,1389713,1389713,Mycobacterium paragordonae,strain=49061,,latest,Complete Genome,Major,Full,2018/10/04,ASM361443v1,Seoul National University College of Medicine,GCA_003614435.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/614/435/GCF_003614435.1_ASM361443v1,,assembly from type material,na,Mycobacterium_paragordonae
449,GCF_010731935.1,PRJNA224116,SAMD00153220,,na,1138383,1138383,Mycobacterium paraintracellulare,strain=JCM 30622,,latest,Complete Genome,Major,Full,2020/02/06,ASM1073193v1,"Department of Infection Metagenomics, Osaka University",GCA_010731935.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/731/935/GCF_010731935.1_ASM1073193v1,,assembly from type material,na,Mycobacterium_paraintracellulare
118604,GCF_003816035.1,PRJNA224116,SAMN10410790,,na,1770,1764,Mycobacterium avium subsp. paratuberculosis,strain=MAPK_JJ1/13,,latest,Complete Genome,Major,Full,2018/11/25,ASM381603v1,UNIST,GCA_003816035.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/816/035/GCF_003816035.1_ASM381603v1,,,na,Mycobacterium_paratuberculosis
114771,GCF_003584725.1,PRJNA224116,SAMD00011899,,na,1008298,1769,Mycobacterium leprae Kyoto-2,strain=Kyoto-2,,latest,Complete Genome,Major,Full,2017/12/21,ASM358472v1,"Leprosy Research Center, National Institute of Infectious Diseases",GCA_003584725.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/584/725/GCF_003584725.1_ASM358472v1,,,na,Mycobacterium_leprae
111215,GCF_003408535.1,PRJNA224116,SAMN09074392,,na,439334,1764,Mycobacterium avium subsp. hominissuis,strain=MAC109,,latest,Complete Genome,Major,Full,2018/08/20,ASM340853v1,Johns Hopkins University,GCA_003408535.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/408/535/GCF_003408535.1_ASM340853v1,,,na,Mycobacterium_hominissuis
85301,GCF_002355775.1,PRJNA224116,SAMD00056531,,na,1124626,1809,Mycobacterium ulcerans subsp. shinshuense,strain=ATCC 33728,,latest,Complete Genome,Major,Full,2016/08/04,ASM235577v1,National Institute of Infectious Diseases,GCA_002355775.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/775/GCF_002355775.1_ASM235577v1,,assembly from type material,na,Mycobacterium_shinshuense
106513,GCF_003253775.1,PRJNA224116,SAMN09104579,,representative genome,1769,1769,Mycobacterium leprae,strain=MRHRU-235-G,,latest,Complete Genome,Major,Full,2018/06/18,ASM325377v1,National JALMA Institute for Leprosy and Other Mycobacterial Diseases,GCA_003253775.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/253/775/GCF_003253775.1_ASM325377v1,,,na,Mycobacterium_leprae
244544,GCF_025665475.1,PRJNA224116,SAMN31020214,,na,262316,1764,Mycobacterium avium subsp. paratuberculosis K-10,strain=K-10,,latest,Complete Genome,Major,Full,2022/10/12,ASM2566547v1,University of Wisconsin-Madison,GCA_025665475.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/665/475/GCF_025665475.1_ASM2566547v1,,,na,Mycobacterium_paratuberculosis
220522,GCF_022374935.2,PRJNA224116,SAMN20254270,,representative genome,1795032,1795032,Mycolicibacter virginiensis,strain=DSM 100883,,latest,Complete Genome,Major,Full,2022/08/24,ASM2237493v2,Research Institute of Tuberculosis,GCA_022374935.2,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/374/935/GCF_022374935.2_ASM2237493v2,,assembly from type material,na,Mycolicibacter_virginiensis
214136,GCF_021183725.1,PRJNA224116,SAMN23242882,,representative genome,2738409,2738409,Mycobacterium ostraviense,strain=FDAARGOS_1613,,latest,Complete Genome,Major,Full,2021/12/14,ASM2118372v1,US Food and Drug Administration,GCA_021183725.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/183/725/GCF_021183725.1_ASM2118372v1,,,na,Mycobacterium_ostraviense
203993,GCF_019739095.1,PRJNA224116,SAMN20463125,,na,1802,1802,Mycolicibacterium farcinogenes,strain=BKK/CU-MFGLA-001,,latest,Complete Genome,Major,Full,2021/08/24,ASM1973909v1,Chulalongkorn University,GCA_019739095.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/739/095/GCF_019739095.1_ASM1973909v1,,,na,Mycolicibacterium_farcinogenes
192542,GCF_018278905.1,PRJNA224116,SAMN12776813,,representative genome,886343,886343,Mycobacterium spongiae,strain=FSD4b-SM,,latest,Complete Genome,Major,Full,2021/05/05,ASM1827890v1,University of Melbourne,GCA_018278905.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/278/905/GCF_018278905.1_ASM1827890v1,,assembly from type material,na,Mycobacterium_spongiae
155613,GCF_010726505.1,PRJNA224116,SAMD00153168,,representative genome,2492438,2492438,Mycobacterium novum,strain=JCM 6391,,latest,Complete Genome,Major,Full,2020/02/06,ASM1072650v1,"Department of Infection Metagenomics, Osaka University",GCA_010726505.1,identical,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/726/505/GCF_010726505.1_ASM1072650v1,,assembly from type material,na,Mycobacterium_novum
