Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Mycobacterium avium strain 28132 65 kDa heat shock protein gene, partial cds",Mycobacterium avium,509,509,89%,3e-143,68.54,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ284767.1?report=genbank&log$=nucltop&blast_rank=41&RID=6PVX24BJ016"",""DQ284767.1"")"
"Mycobacterium avium strain 76102 65 kDa heat shock protein gene, partial cds",Mycobacterium avium,509,509,89%,3e-143,68.54,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ284766.1?report=genbank&log$=nucltop&blast_rank=42&RID=6PVX24BJ016"",""DQ284766.1"")"
"Mycobacterium avium strain 104 65 kDa heat shock protein gene, partial cds",Mycobacterium avium,509,509,89%,3e-143,68.54,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ284765.1?report=genbank&log$=nucltop&blast_rank=43&RID=6PVX24BJ016"",""DQ284765.1"")"
XXX,Mycolicibacterium smegmatis,508,508,96%,1e-142,68.06,183373,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR589624.1?report=genbank&log$=nucltop&blast_rank=44&RID=6PVX24BJ016"",""LR589624.1"")"
"Mycobacterium mucogenicum isolate MUCO_06-690 65 kDa heat shock protein (hsp65) gene, partial cds",Mycolicibacterium mucogenicum,508,508,94%,1e-142,68.06,1570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF551411.1?report=genbank&log$=nucltop&blast_rank=45&RID=6PVX24BJ016"",""EF551411.1"")"
"Mycobacterium mucogenicum isolate MUCO_06-694 65 kDa heat shock protein (hsp65) gene, partial cds",Mycolicibacterium mucogenicum,508,508,94%,1e-142,68.19,1570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF551409.1?report=genbank&log$=nucltop&blast_rank=46&RID=6PVX24BJ016"",""EF551409.1"")"
"Mycobacterium marinum isolate S4 heat shock protein 65 (hsp65) gene, partial cds",Mycobacterium marinum,507,507,96%,4e-142,67.71,1648,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF456474.1?report=genbank&log$=nucltop&blast_rank=47&RID=6PVX24BJ016"",""AF456474.1"")"
"Mycobacterium avium strain 2000-333 65 kDa heat shock protein gene, partial cds",Mycobacterium avium,505,505,89%,1e-141,68.47,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ284771.1?report=genbank&log$=nucltop&blast_rank=48&RID=6PVX24BJ016"",""DQ284771.1"")"
"Mycobacterium avium strain ATCC 25291 65 kDa heat shock protein gene, partial cds",Mycobacterium avium subsp. avium ATCC 25291,505,505,89%,1e-141,68.47,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ284768.1?report=genbank&log$=nucltop&blast_rank=49&RID=6PVX24BJ016"",""DQ284768.1"")"
XXX,Mycobacterium kansasii,503,503,96%,4e-141,67.95,69949,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR589488.1?report=genbank&log$=nucltop&blast_rank=50&RID=6PVX24BJ016"",""LR589488.1"")"
XXX,Mycobacterium kansasii,503,503,96%,4e-141,67.95,69949,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LR589267.1?report=genbank&log$=nucltop&blast_rank=51&RID=6PVX24BJ016"",""LR589267.1"")"
M.paratuberculosis HSP65 gene for heat shock protein 65,Mycobacterium avium subsp. paratuberculosis,503,503,96%,4e-141,68.04,1751,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/X74518.1?report=genbank&log$=nucltop&blast_rank=52&RID=6PVX24BJ016"",""X74518.1"")"
"Mycobacterium ulcerans heat shock protein 65 (hsp65) gene, partial cds",Mycobacterium ulcerans,502,502,96%,4e-141,67.64,1648,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF456475.1?report=genbank&log$=nucltop&blast_rank=53&RID=6PVX24BJ016"",""AF456475.1"")"
"Mycobacterium sp. 'graecum DL049' heat shock protein 65 (hsp65) gene, partial cds",Mycobacterium sp. 'graecum DL049',502,502,96%,4e-141,68.15,1651,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF456472.1?report=genbank&log$=nucltop&blast_rank=54&RID=6PVX24BJ016"",""AF456472.1"")"
"Mycobacterium marinum strain cyprinum CC240299 heat shock protein 65 (hsp65) gene, partial cds",Mycobacterium marinum,502,502,96%,4e-141,67.64,1648,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF456469.1?report=genbank&log$=nucltop&blast_rank=55&RID=6PVX24BJ016"",""AF456469.1"")"
"Mycobacterium avium subsp. hominissuis MY332 hsp65 gene for 65 kDa heat shock protein, partial cds",Mycobacterium avium subsp. hominissuis,500,500,89%,2e-140,68.40,1510,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC497502.1?report=genbank&log$=nucltop&blast_rank=56&RID=6PVX24BJ016"",""LC497502.1"")"
"Mycobacterium avium subsp. paratuberculosis K-10 65 kDa heat shock protein gene, partial cds",Mycobacterium avium subsp. paratuberculosis K-10,500,500,89%,2e-140,68.40,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ284769.1?report=genbank&log$=nucltop&blast_rank=57&RID=6PVX24BJ016"",""DQ284769.1"")"
"Mycobacterium mucogenicum isolate MUCO_07-445 65 kDa heat shock protein (hsp65) gene, partial cds",Mycolicibacterium mucogenicum,499,499,94%,5e-140,67.93,1570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EF551420.1?report=genbank&log$=nucltop&blast_rank=58&RID=6PVX24BJ016"",""EF551420.1"")"
"Mycobacterium avium complex strain 68257 heat shock protein 65-like (hsp65) gene, partial sequence",Mycobacterium avium complex sp.,498,498,89%,2e-139,68.42,1462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU239786.1?report=genbank&log$=nucltop&blast_rank=59&RID=6PVX24BJ016"",""EU239786.1"")"
"Mycobacterium marinum strain ATCC 927 heat shock protein 65 (hsp65) gene, partial cds",Mycobacterium marinum,498,498,96%,2e-139,67.58,1648,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF456470.1?report=genbank&log$=nucltop&blast_rank=60&RID=6PVX24BJ016"",""AF456470.1"")"
"Mycobacterium marseillense strain 62863 heat shock protein 65-like (hsp65) gene, partial sequence",Mycobacterium marseillense,496,496,89%,6e-139,68.49,1462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU239788.1?report=genbank&log$=nucltop&blast_rank=61&RID=6PVX24BJ016"",""EU239788.1"")"
"Mycobacterium avium subsp. paratuberculosis strain LN20 (sheep type) 65 kDa heat shock protein gene, partial cds",Mycobacterium avium subsp. paratuberculosis,496,496,89%,6e-139,68.33,1519,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/DQ284770.1?report=genbank&log$=nucltop&blast_rank=62&RID=6PVX24BJ016"",""DQ284770.1"")"
"Mycobacterium colombiense strain CIP 108962 heat shock protein 65-like (hsp65) gene, partial sequence",Mycobacterium colombiense CECT 3035,493,493,89%,2e-138,68.35,1462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU239785.1?report=genbank&log$=nucltop&blast_rank=63&RID=6PVX24BJ016"",""EU239785.1"")"
"Mycobacterium marseillense strain 5356591 heat shock protein 65-like (hsp65) gene, partial sequence",Mycobacterium marseillense,491,491,89%,8e-138,68.42,1462,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU239787.1?report=genbank&log$=nucltop&blast_rank=64&RID=6PVX24BJ016"",""EU239787.1"")"
"Mycobacterium marinum strain eilaticum DL240490 heat shock protein 65 (hsp65) gene, partial cds",Mycobacterium marinum,489,489,96%,1e-136,67.45,1648,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF456468.1?report=genbank&log$=nucltop&blast_rank=65&RID=6PVX24BJ016"",""AF456468.1"")"
"Mycobacterium lehmannii strain CECT 8763 heat shock protein 65 KDa gene, complete cds",Mycobacterium lehmannii,485,485,96%,1e-135,67.66,1626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY933786.1?report=genbank&log$=nucltop&blast_rank=66&RID=6PVX24BJ016"",""KY933786.1"")"
"Mycobacteroides abscessus subsp. abscessus strain 0037-2 65kDa heat shock protein (hsp65) gene, complete cds",Mycobacteroides abscessus subsp. abscessus,484,484,96%,1e-135,67.85,1626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL704624.1?report=genbank&log$=nucltop&blast_rank=67&RID=6PVX24BJ016"",""OL704624.1"")"
"Mycobacterium sp. FI-13364 65 kD heat shock protein (hsp65) gene, partial cds",Mycobacterium sp. FI-13364,483,483,92%,4e-135,68.36,1510,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ586581.1?report=genbank&log$=nucltop&blast_rank=68&RID=6PVX24BJ016"",""KJ586581.1"")"
"Mycobacteroides abscessus subsp. massiliense strain 138 65kDa heat shock protein (hsp65) gene, complete cds",Mycobacteroides abscessus subsp. massiliense,480,480,96%,5e-134,67.78,1626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL704635.1?report=genbank&log$=nucltop&blast_rank=69&RID=6PVX24BJ016"",""OL704635.1"")"
"Mycobacteroides abscessus subsp. massiliense strain 107 65kDa heat shock protein (hsp65) gene, complete cds",Mycobacteroides abscessus subsp. massiliense,480,480,96%,5e-134,67.78,1626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL704626.1?report=genbank&log$=nucltop&blast_rank=70&RID=6PVX24BJ016"",""OL704626.1"")"
"Mycobacteroides abscessus subsp. abscessus strain 106 65kDa heat shock protein (hsp65) gene, complete cds",Mycobacteroides abscessus subsp. abscessus,480,480,96%,5e-134,67.78,1626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL704625.1?report=genbank&log$=nucltop&blast_rank=71&RID=6PVX24BJ016"",""OL704625.1"")"
"Mycobacteroides abscessus subsp. bolletii strain Asan 55262 heat shock protein 65kD (hsp65) gene, complete cds",Mycobacteroides abscessus subsp. bolletii,475,475,96%,6e-133,67.72,1626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MH430913.1?report=genbank&log$=nucltop&blast_rank=72&RID=6PVX24BJ016"",""MH430913.1"")"
"Mycobacteroides abscessus subsp. abscessus strain XA83 65kDa heat shock protein (hsp65) gene, complete cds",Mycobacteroides abscessus subsp. abscessus,475,475,96%,6e-133,67.72,1626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL704687.1?report=genbank&log$=nucltop&blast_rank=73&RID=6PVX24BJ016"",""OL704687.1"")"
"Mycobacteroides abscessus subsp. abscessus strain 39 65kDa heat shock protein (hsp65) gene, complete cds",Mycobacteroides abscessus subsp. abscessus,475,475,96%,6e-133,67.72,1626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL704648.1?report=genbank&log$=nucltop&blast_rank=74&RID=6PVX24BJ016"",""OL704648.1"")"
"Mycobacteroides abscessus subsp. massiliense strain 119 65kDa heat shock protein (hsp65) gene, complete cds",Mycobacteroides abscessus subsp. massiliense,475,475,96%,6e-133,67.72,1626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OL704630.1?report=genbank&log$=nucltop&blast_rank=75&RID=6PVX24BJ016"",""OL704630.1"")"
"Mycobacterium haemophilum strain ATCC 29548 heat shock protein 60 (groEL) gene, partial cds",Mycobacterium haemophilum DSM 44634,472,472,96%,7e-132,67.20,1612,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/GQ245967.1?report=genbank&log$=nucltop&blast_rank=76&RID=6PVX24BJ016"",""GQ245967.1"")"
"Mycobacterium paratuberculosis 65 kDa heat shock protein PTB65K gene, complete cds",Mycobacterium avium subsp. paratuberculosis,470,470,88%,3e-131,67.98,2641,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/U15989.1?report=genbank&log$=nucltop&blast_rank=77&RID=6PVX24BJ016"",""U15989.1"")"
"Mycobacterium neglectum strain CECT 8778 heat shock protein gene, complete cds",Mycobacterium neglectum,461,461,93%,1e-128,67.90,1626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MF774022.1?report=genbank&log$=nucltop&blast_rank=78&RID=6PVX24BJ016"",""MF774022.1"")"
"Mycobacterium celeriflavum strain AFPC000207 65kD heath shock protein (hsp65) gene, partial cds",Mycolicibacterium celeriflavum,461,461,90%,1e-128,68.20,1475,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ586615.1?report=genbank&log$=nucltop&blast_rank=79&RID=6PVX24BJ016"",""KJ586615.1"")"
"Mycobacterium neumannii strain CECT 8766 heat shock protein 65 KDa gene, complete cds",Mycobacterium neumannii,455,455,96%,6e-127,67.41,1626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KY933787.1?report=genbank&log$=nucltop&blast_rank=80&RID=6PVX24BJ016"",""KY933787.1"")"
"Mycobacterium sp. 185-409 heat shock protein 65 (hsp65) gene, partial cds",Mycobacterium sp. 185-409,437,437,96%,2e-121,67.15,1648,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AF456473.1?report=genbank&log$=nucltop&blast_rank=81&RID=6PVX24BJ016"",""AF456473.1"")"
"Mycobacterium intracellulare 65 kDa heat shock protein (hsp65) gene, partial cds",Mycobacterium intracellulare,375,375,55%,2e-102,69.84,977,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KR856202.1?report=genbank&log$=nucltop&blast_rank=82&RID=6PVX24BJ016"",""KR856202.1"")"
"Mycobacterium bouchedurhonense strain 4355387 heat shock protein 65 (hsp65) gene, partial cds",Mycobacterium bouchedurhonense,364,364,61%,3e-99,68.99,994,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/EU239790.1?report=genbank&log$=nucltop&blast_rank=83&RID=6PVX24BJ016"",""EU239790.1"")"
